id,bloco,aluguel,valor_m2,area,quartos,suites,vagas,link,data_descoberta
1030705,SQN 215 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-215-bloco-e-1030705,seed:links.txt
1031318,SQSW 304 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-304-bloco-e-1031318,seed:links.txt
972769,SQS 216 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-216-bloco-f-972769,seed:links.txt
516187,SQS 105,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-105-516187,seed:links.txt
977948,SQS 308 Bloco C,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-c-977948,seed:links.txt
1032759,SQN 310 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-310-bloco-i-1032759,seed:links.txt
1032819,SQS 308,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-308-1032819,seed:links.txt
1032912,SQN 209,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-209-1032912,seed:links.txt
1008812,SQN 203,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-203-1008812,seed:links.txt
996660,SHIGS 713,,,,,,,https://www.dfimoveis.com.br/imovel/casa-4-quartos-aluguel-asa-sul-brasilia-df-shigs-713-996660,seed:links.txt
1033429,SQN 116 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-116-bloco-d-1033429,seed:links.txt
635440,SQN 112 Bloco K,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-112-bloco-k-635440,seed:links.txt
1034055,SQN 304,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-304-1034055,seed:links.txt
1016732,SQS 114 Bloco H,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-114-bloco-h-1016732,seed:links.txt
1034689,SQN 206 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-206-bloco-i-1034689,seed:links.txt
1029358,SHIGS 707,,,,,,,https://www.dfimoveis.com.br/imovel/casa-4-quartos-aluguel-asa-sul-brasilia-df-shigs-707-1029358,seed:links.txt
